17;Région Centre Atlantique;0;None;0
17-0000;Sortie physique matériel;0;None;0
17-0001;Matériel à statuer fin cycle inventaire;0;None;0
17-1602;Zone analytique d'Angoulème;0;None;0
17-1602-ANG-I;En attente informatique Angoulème;1602420;None;420
17-1602-ASM;Site d'Angoulème;0;None;0
17-1602-ASM-A;Angoulême - Batiment A;1602401;None;401
17-1602-ASM-A-R;Angoulême - Niveau 0;1602401;None;401
17-1602-ASM-A-R-00R001;Angoulême - Rampe accès PMR;1602401;None;401
17-1602-ASM-A-R-00R002;Angoulême - Perron PMR;1602401;None;401
17-1602-ASM-A-R-00R003;Angoulême - SAS entrée;1602401;None;401
17-1602-ASM-A-R-00R004;Angoulême - Hall accueil;1602401;None;401
17-1602-ASM-A-R-00R005;Angoulême - Banque d'accueil;1602110;None;110
17-1602-ASM-A-R-00R006;Angoulême - SAS sanitaires donneurs;1602110;None;401
17-1602-ASM-A-R-00R007;Angoulême - Sanitaire Donneurs Hommes;1602110;None;401
17-1602-ASM-A-R-00R008;Angoulême - Sanitaire Donneurs Femmes;1602110;None;401
17-1602-ASM-A-R-00R009;Angoulême - Bureau entretien médical 1;1602110;None;110
17-1602-ASM-A-R-00R010;Angoulême - Bureau entretien médical 2;1602110;None;110
17-1602-ASM-A-R-00R011;Angoulême - Magasin secondaire;1602110;None;431
17-1602-ASM-A-R-00R012;Angoulême - Salle prélèvements;1602110;None;110
17-1602-ASM-A-R-00R013;Angoulême - Espace administratif;1602110;None;110
17-1602-ASM-A-R-00R014;Angoulême - Circulation vers collation;1602110;None;401
17-1602-ASM-A-R-00R015;Angoulême - Restauration donneurs;1602110;None;110
17-1602-ASM-A-R-00R016;Angoulême - Office donneurs;1602110;None;110
17-1602-ASM-A-R-00R017;Angoulême - Bureau IDE;1602430;None;110
17-1602-ASM-A-R-00R018;Angoulême - Salle réunion;1602430;None;430
17-1602-ASM-A-R-00R019;Angoulême - Bureau Responsa Prélèvements;1602430;None;110
17-1602-ASM-A-R-00R020;Angoulême - Secrétariat donneurs;1602110;None;114
17-1602-ASM-A-R-00R021;Angoulême - SAS sanitaires personnels;1602401;None;401
17-1602-ASM-A-R-00R022;Angoulême - Sanitaire personnels Hommes;1602401;None;401
17-1602-ASM-A-R-00R023;Angoulême - Sanitaire personnels Femmes;1602401;None;401
17-1602-ASM-A-R-00R024;Angoulême - Espace photocopieurs;1602430;None;430
17-1602-ASM-A-R-00R025;Angoulême - Circulation distribution;1602401;None;401
17-1602-ASM-A-R-00R026;Angoulême - Réserve alimentaire;1602110;None;110
17-1602-ASM-A-R-00R027;Angoulême - Bur Responsable Centre Soins;1602150;None;221
17-1602-ASM-A-R-00R028;Angoulême - Bur Responsable Distribution;1602110;None;151
17-1602-ASM-A-R-00R029;Angoulême - Bureau Techniciens Distribu;1602150;None;150
17-1602-ASM-A-R-00R030;Angoulême - Local expédition;1602151;None;151
17-1602-ASM-A-R-00R031;Angoulême - SAS Navettes;1602151;None;151
17-1602-ASM-A-R-00R032;Angoulême - SAS Distrbution;1602151;None;151
17-1602-ASM-A-R-00R033;Angoulême - Local réception;1602151;None;151
17-1602-ASM-A-R-00R034;Angoulême - Distribution & Laboratoire;1602151;None;151
17-1602-ASM-A-R-00R035;Angoulême - Local enceintes;1602151;None;151
17-1602-ASM-A-R-00R036;Angoulême - Circulation entrée personnel;1602401;None;401
17-1602-ASM-A-R-00R037;Angoulême - Bur Correspondant Administra;1602110;None;413
17-1602-ASM-A-R-00R038;Angoulême - Sanitaire personnels Hommes;1602401;None;401
